objectid,filename,youtubeid,title,creator,date,description,subject,exhibition,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,iglink
coll081,https://lh3.googleusercontent.com/d/1ZpN-vS_QpfCp6em5jBdGlnKwZxkkbwX8,,"CONSERVES, 1613",,2020-03-28,"Three years before Bobadilla arrived in Manila, several types of native conserves were documented. Perhaps he ate all three. Calamay was a mixture of honey and flour fried in coconut oil. One also could have buchayo (pronounced boo-kah-yoh ) made of coconut or sesame seed. The terms conserva, buchayo and turron were interchangeable then. Four centuries later, pili turron was included among Philippine creole recipes. Turron means nougat. Introduced to Spain, and possibly first made in Jijona, during Moorish times it combines almond, egg white and honey. Bukayo was a common sweet served at the end of a Philippine meal before fancier options dominated. Foods are like fashion. They rise, fall, and may resurrect in their original version or as contemporary innovation.",Calamay; Buchayo; Turron,Diego Bob 1616,,,"Image from FSM Library: Bukayo recipe by Pura Villanueva Kalaw in Condimentos Indígenas, 1918.",,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B-Q8dQpH1ww/
coll082,https://lh3.googleusercontent.com/d/1aaha1GWNUiVfGEaXT1AF-gDXUO67yx9O,,"SWEETENERS, 1609-1616",,2020-03-30,"In these bitter times, we all need some sweetness. So far we have enumerated since 1521 sugarcane chewed for its sweet juice, honeys and coconut syrup (miel de coco also called polot tuba). There are others for which there is written evidence. They were explained as the native “miel de caña,” sugarcane syrup the Spanish knew. But local versions were: polot panilan (honey from beehive); polot sasa (nipa); polot buli (buri). The latter two are palms like the coconut; the process of making honey from their sap is identical to that of polot tuba. Another important word in “sweet history” from the years being studied is BALÁS. In Pampangan, Cebuano and Tagalog it means crystallised syrup, granulated syrup. Syrups could have been from palms. The progression from syrup to solidified sugar and granules is easily imagined. In 1613 an active Tagalog word was PACASCAS. It was “curds like sugar sold in small baskets by Indios at the Parian [market] of Manila.” To a Spaniard “like sugar” probably meant like sugarcane granules. Pacascas is palm sugars. BAGKAT in Pampangan and Tagalog was likewise active: syrup cooked into a soft candy. When defining Philippine cuisine, precolonial sweeteners have an important role. Cooking with them today is one way of providing an antique, insular Southeast Asian, “native” flavour.",Honey; Syrups,Diego Bob 1616,,,"Pakaskas. Detail of a photograph by Johann Espiritu in WRAP, STORE, PEDDLE THEM THE FILIPINO WAY by Marilen Nolasco-Espiritu (ArtPostAsia, 2008). Edited by Krip Yuson, it is an informative and lovely addition to one’s library.",,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B-WIjfDn9PD/
coll083,https://lh3.googleusercontent.com/d/1uuCgEfi8Jpisgrrxs8Z5BL1LMO0qZs6a,,SWEET SALT,,2020-03-31,"During Bobadilla’s Philippine residence (1616-1648), he and other pioneering Spanish settlers could use honeys and native-made palm sugars. They probably rejoiced that Chinese traders annually brought what they hungered for: sugarcane sugar, once called “sweet salt” by Crusader-Knights who saw it for the first time. Sugarcane was known in ancient China but not till the Tang Dynasty (618-907 CE) was refining done. Around 727 Emperor Tai-Tsung sent a delegation to Magadha in India to learn how to turn sugarcane juice into much desired sugar crystals called “tang” in Chinese. From 766-779, a monk in Sichuan taught how to make rock sugar: boiling cane juice into a sticky liquid and letting it flow down a bamboo pipe into an urn where crystals formed. During the subsequent Sung Dynasty (960-1279) sugarcane became a top cash crop in Sichuan and the area from where Chinese workers in the Philippines came, Fukien. There were enough imported ingredients for Spanish to make some of their favourite homeland sweets: sugar, flour, olive oil, pork lard, almonds, raisins among others. But did they? Proof still needed. Natives outside Intramuros were still being converted to Catholicism, coaxed to live in a pueblo where a church would be built, and learn Spanish foods and customs.Two culinary systems for pleasing sweet desires were starting to meet. Priests and Chinese would bring in equipment from the New World and China to make sugarcane sugar during Bobadilla’s lifetime.",Palm sugar; Sugarcane,Diego Bob 1616,,,"Sugarcane (Saccharum officinarum). “Drawings of Plants from Moluccas,” c. 1805-1818. wikigallery.org",,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B-YYAb1nqFy/
coll084,https://lh3.googleusercontent.com/d/1-bvlP-8D8o1k05l_pqvv0skn9d0zIgBb,,COOKING CAMOTE 400 YEARS AGO,,2020-04-01,"Bobadilla in the early 1600s just like Pigafetta in 1521 records that rootcrops were eaten. He lists 4 cultivated ones. CAMOTE is a sweet potato, Ipomomea batatas. He writes it is the “potatoes of Spain” eaten by colonised and colonisers alike. There is APARI that a 19th-century source describes as white inside, nicely flavoured and called BARIBARAN in Borongan, Samar. UBI is an edible root characterised by a 1613 source as a hand-span or longer and white. A fourth kind was LAQUI. “Mountains furnish roots from which [natives] draw their most usual nourishment,” he added. One was PUGAIAN and the other COROT (Dioscorea triphylla or pentaphylla L.), a yam. Wild tubers were famine food, fallback when cultivated crops failed. Camote was often used as a generic term for all tubers, whatever their genus. How was camote cooked during Bobadilla’s time? He doesn’t say, however a few years before he arrived there is a document. LABON meant cooking a large quantity of tubers or meat. If it was a small amount of tubers it was as LAGA, in the juice or syrup of sugarcane (or likely plain water also). Cooking tubers in water was also called CQISA (gisa) but not referring to today’s stir-frying or complex stewing. Gisa then meant to cook rice, to make SAING that was done by cooking rice (or in this case, tuber) in water. Bobadilla has left insights into heritage cooking. Rootcrops remain healthy substitutes for emergencies and last long if stored properly.",Root crops; Camote; Sweet potato,Diego Bob 1616,,,Dioscorea alata. (Ube and ubi in the Philippines.) The image is of Sri Lanka tuber. From Bihrmann’s CAUDICIFORMS.,,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B-bRQB4n3FD/
coll085,https://lh3.googleusercontent.com/d/1do9dTR94cgKKKbpU63rlr8vxTsjmpDtd,,GOAT HORNS,,2020-04-03,"Bobadilla noted that in common settings banana leaves on the ground [on the bamboo floor or over a mat, I suspect] marked where one should eat. Leaves were half a meter long and half that wide. Bananas recorded in the 1600s are saba, (healthy and good), bongolan (aromatic, green skinned), bangalan (aromatic, yellow, short), borohan (wild, lots of seeds, sweet), tanyanuang (very long) and sungay cambing (small, short, literally meaning horn of a goat). Some could be cooked in water. Banana originated in Southeast Asia and the South Pacific 5,000 to 8,000 years ago. Arabs brought it westward from India. Varieties from the Americas (originally from Africa) would be introduced to the Philippines. Banana is a precolonial feature of Philippine cuisine to honour.",Bananas,Diego Bob 1616,,,Musa paradisiaca L. from plantgenera.org on pinterest.ph,,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B-YYAb1nqFy/
coll086,https://lh3.googleusercontent.com/d/1QvovjRHdvUNvVcv22LB6PW5zc_dxoaKC,,BANIG LEVEL,,2020-04-04,"Insular Southeast Asia is a floor-level culture. Spain introduced chair-level. Mat culture was so highly developed that there was a proper mat for each function. Some mats were specifically woven for heavy duty agricultural uses, others finer for everyday functions, and still others so artistically decorated with symbols and colours for ceremonies like those marking rites of passage. The banig is a precious element of Philippine culture to sustain. Bobadilla explained that while common eating was on banana leaves at ground level, the wealthy dined on low tables. They would have been sitting on mats as Pigafetta noted and the tables were low. Dulang is what Tagalogs call the low table that comes in many sizes. Several dulang can be placed end to end for large banquets. Important has been that one could eat with others.",Banig; Dulang,Diego Bob 1616,,,"“Una comida entre gente acomodada” from the Luis Ma. Araneta Collection. 1880s-1890s, Cebu.",,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B-jHatIHhad/
coll087,https://lh3.googleusercontent.com/d/1rJqDxm8ZnYZJh3dplXUI9mmQSMvCIrWq,,SHIP LOADS,,2020-04-05,"Diego Bobadilla, SJ’s “Relation” covers 1616-1634. Natives used sailboats and CARACOA. The latter vessel had 3 layers of stations for rowers on each side. Manpower could reach 100 natives per boat. CARACOA were used as trading ships to carry dried fish, wine, salt, wax, cotton, coconut and other like merchandise in an active coastal trade. Spanish traded wax, storax, Ivory, bezoar in Borneo and Camboa. Two or three Portuguese ships from Macao brought silk, musk, precious stones and fragrant woods. Chinese traders noted in earlier posts brought persimmon and other fruit, parasols, porcelain, cloths the black ones used by Indians, paste gems, thread and the most esteemed whitest silk. Galleons larger than those in the Mediterranean were built at Manila where abaca was used for rigging. The galleon also transported missionaries. A subsidy was added for an outfit of clothing “they are won’t to wear,” a mattress, a blanket and straw for the voyage. Missionaries often lacked enough funds to cover meals while waiting for their galleons to leave Spain and Mexico. Part of their small royal subsidy ended up as handouts demanded at ports by petty bureaucrats. Burdens were heavy for Bobadilla and his brothers.",Sailboats; Caracoa; Ships; Trading,Diego Bob 1616,,,"Visayan Karakoa from Francisco Ignacio Alcina, 1668. Wikipedia.",,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B-l38YInYVQ/
coll088,https://lh3.googleusercontent.com/d/1bTZhRBO4hog47aBE6Ecu1qQ24fNHoW4O,,BREAD & WINE,,2020-04-06,"Diego Bobadilla was made a Procurator. It meant he was to procure or draft Jesuits in Europe and bring them to Filipinas as missionaries. He explained fears that were real to the draftees: there was neither bread nor wine; the sea terrified; seasickness could keep them flat on their backs the entire trip; strange climate and illnesses could kill them. The Jesuit Pedro de Montes and his group of 20 Jesuits were assigned 3 ordinary cabins 10 feet long by 8 feet wide, and a fourth cabin slightly larger. A group of Jesuits traveling in 1625 had to lie with the feet of one resting on the head of another. Their cabin was a cubbyhole under the quarterdeck. They had to keep their ration of hard sea biscuit that attracted weevils beside them. Their door was so blocked with gear that they crawled into the cabin like cats. No one took off their clothes and soon vermin the size of chickpea attached to them, sucked their blood, and infested their food. At the stopover in Acapulco, bureaucrats refused to lodge them. They slept outdoors for 2 and a half months till they could make the Pacific crossing. The early years of Christianisation of the colony were inspired by sanctity unlike the 1800s when a frailocracy was in place.",Diego Bobadilla; Pedro de Montes; Jesuits; Christianity; Voyages and travels,Diego Bob 1616,,,"The Miracles of St. Francis Xavier (1506-1552), Society of Jesus co-founder by Peter Paul Rubens. Circa 1617. Kunsthistorisches Museum, Vienna. Tumblr.",,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B-ozIk1Hcf2/
coll089,https://lh3.googleusercontent.com/d/1j9LChT06YFnHzvSDOFqD-pwGEyDW46XX,,MEXICAN MEMORY,,2020-04-07,"Fray Diego Bobadilla procured 41 Jesuits and got them to the Philippines in 1643. They survived 82 days crossing the Atlantic, usually a 60 day trip. Then there was the Mexican layover of 5 months first at the convents in Mexico City and Puebla, then at Acapulco. It was then that they could taste Mexican cooking in the convents. The typical Pacific crossing was about 75 days. Perhaps because Bobadilla’s family was well known in Madrid and had royal connections, his group was assigned to the smaller of two galleons crossing the Pacific. The priests had a luggage room and the entire quarterdeck to themselves; Bobadilla even had his own room. The captain gave half of his accommodations at the poop deck in addition. They set up an infirmary on the portside for many who fell sick. They even fashioned a refectory on the poop deck using the passageway as a kitchen. Their comfortable quarters allowed them to follow their usual routine, offer religious instruction and service passengers.",Diego Bobadilla; Jesuits; Voyages and travels,Diego Bob 1616,,,"St. Peter Faber (1506-1546), co-founder, Society of Jesus. anastpaul.com",,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B-qsXQ5nANh/
coll090,https://lh3.googleusercontent.com/d/1dRlKISWqGllE5OBm8rRGTn5wc3kBlR5U,,CULINARY ADJUSTMENTS,,2020-04-08,"When Bobadilla and his 41 recruits arrived from Acapulco in 1643 they had to go overland to Manila from Lampon (Quezon Province) where the boat landed. 100 porters arrived with Fr. Ignacio Mujica to meet them. With 8 litters for the sick, they walked up and down slippery rain-washed trails through the Sierra Madre till they reached Bai Lake. At one descent, 11,000 steps were cut into the path. At Pangil village on the lakeshore, a lay brother awaited them with a “hot meal of enormous proportion,” Horacio de la Costa, SJ recounts in the history of his order published by Harvard University Press in 1961. The alcalde mayor provided boats that sailed them from the lake down Pasig River to the Walled City where bells pealed in welcome. Recruits adjusted to their new island home and its customs. They learned not to fear the foreign. There was local bread made from Japanese flour at the capital. At their assigned rural stations they ate rice like those they sought to make fine Christians: using their fingers. In the first 100 years of mission work, fervent piety ignited men like Bobadilla. This is the last of culinary vignettes based on his documents.
We tend to judge historical events forgetting that attitudes change from one era to another. How well did an era display the best of humanity? Did the Jesuits and missionaries of other orders exemplify a new ideal model for natives to desire for themselves? Did the new Christian food customs make sense to Filipinos? (A new food history series will start after Easter Sunday.)",Diego Bobadilla; Ignacio Mujica;  Horacio de la Costa; Votages and travels,Diego Bob 1616,,,"St. Ignatius of Loyola (1491-1556), co-founder of the Society of Jesus and its first Supervisor. By Peter Paul Rubens, 1620-1622. Collection: Norton Simon Art Foundation",,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B-tTKNLHg6p/
coll091,https://lh3.googleusercontent.com/d/1jKyot2R6bboIYBsmjPyRUtHzGWLOi1vp,,(PAM1) DALAYAP,,2021-06-23,"Before Filipinos cooked with kalamansi they used Citrus notissima. In Tagalog the lime is called DAYAP. In Pampangan it is the DALAYAP. It was an extremely common tree known popularly and used much. Reaching to heights of 12 feet or more, the tree had fruit with a thin rind and a diameter of more than an inch although some grew larger. Chinese used it to cook meat quickly in a pot, likely meaning it helped as a tenderiser. The Spanish called it lemoncito (small lemon). In Pampanga, the focus of our new set of food stories, MIDALAYAP meant to use dalayap in cooking. When two men became godfathers to the same child they were referred to as MICADALAYAP, also meaning that they had a “spiritual relationship” with the child’s father according to Fr. Diego Bergaño, OSA in 1732. He added the term MICADALANDAN, meaning the spiritual relationship of a child’s parents and godparents. The dalandan was an orange species of citrus. The citruses of the world are said to have originated in different parts of Asia including Southeast Asia, spreading through Austronesian migration, later trade routes, and global colonisations.",Fr. Diego Bergaño; Citrus,Pampaga 1732,,,FSM Photo,,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/CQc01wMH_q9/?hl=en
coll092,https://lh3.googleusercontent.com/d/1Qs28Ut-PT1PxbcgEA32hYTQQKIawJqip,,(PAM2) MANIRUG,,2021-06-26,"Could the Comet of 1680 have caused the influenza pandemic of 1687? The emergency continued into the next year. Fr. Casimiro Diaz, OSA was serving in Guagua, Pampanga. Most of the indios were “prostrated by the cruel influenza, and the rest of them caring for the sick ones.” The few people on the street were deputies and officials of the confraternities who were carrying jars of NASI (cooked rice), going up into houses providing those who were in need with food. “Most of the people were without it, and others could not cook,” he wrote. Although influenza was frequent in the colony that year’s was the worst according to elders. Many died especially children and old persons. There were no people to cultivate rice fields. Before influenza hit, locusts had ruined a previous harvest. They were facing DANUP, hunger. What they would have appreciated was MANIRUG, the thoughtful act of offering a patient a favourite food that could revive the desire to eat, as defined by Fr. Diego Bergaño, a fellow Augustinian. IRUG described gravy, condiments, flavour, and anything else that whet the appetite. The definition implies that gravy was part of Pampanga cuisine by that time. The pandemic then like today inspired charity through feeding.",Fr. Casimiro Diaz; Influenza; Fr. Diego Bergaño; Guagua,Pampaga 1732,,,The influenza virus. Adobe Stock photo.,,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/CQkqDFqnU5f/?hl=en
coll093,https://lh3.googleusercontent.com/d/1fl_93ZPFV9o8q1nHlsGkpxW5coPc7PGr,,(PAM3) YERBAS,,2021-06-30,"Also spelled hierbas, the term was applied to greens that were used as vegetables. In the 1700s Pampanga cooked the hierbas called CANCUNG (kangkong in Tagalog today) with venison to good results. It was also made into salad. The smooth vine trailed on mud or floated on stagnant pools. Also eaten was LIBATO (alugbati in Tagalog). Other herbs eaten were LUCAY (its flowers were called TUNAS, its roots TUCAL), SÁLAY and LUPA. Too much of the latter was injurious. Although this series is to help us get a sense of what Philippine cuisine was like in the second colonial century, 1665-1764, here are some wild Pampangan hierbas from 157 years later. In the 1700s as in earlier years not all ingredients needed to be cultivated in one’s garden. TUNGKUT-LAÑGIT (Helminthostachys zeylanica L.) was a wild fern. So was PAKÓ (Athyrium esculentum) widely distributed on gravel beds and banks of swift streams. Their young fronds were eaten raw as a salad, as well as cooked as a vegetable. PAPATANI was a vine growing wild in thickets. The seeds were said to be edible but possibly poisonous. Finding now rare heritage ingredients can offer “new” ingredients for contemporary cuisine.",Vegetables,Pampaga 1732,,,,,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/CQuypHnjyUq/?hl=en
coll094,https://lh3.googleusercontent.com/d/1kba8uQ5soGu5_e6a4B2YPNa4tTzAp-vB,,(PAM4) ALLIUM,,2021-07-03,"The arrival of chile added piquancy to the Philippine diet. What indigenized according to Manuel Blanco, OSA by the 1800s was Capsicum minimum with a tiny fruit. It was known as Pasitis in his time and grew everywhere, even uncultivated. Except in Pampanga, its old name LARA had been forgotten. In the 1700s lara indeed was in use. MANLARA was to add lara as an ingredient in Pampangan food to make it hot and pungent according to the Bergano dictionary. It seems not everyone liked pungency because PANLARAN was putting chili into someone’s food, knowing he would not eat it. In pre-lara times, the prick in Pampangan cuisine came from LAYA (Amomum zingiber), ginger. The root must have figured in abundance because MALAYA meant an abundance of ginger. In the Visayas of 1521, raw ginger was served separately to accompany roasted fish. BAUANG was the Pampanga term for garlic (Allium sativum) that if eaten raw gave piquancy too. In Cebu of 1521 LAXUNA (pronounced lah-su-nah) meant garlic. LASONA was the term for “cebolla,” onion in Pampanga during the 1700s. But was lasona then the Allium cepa, shallot also called little onion? LASUNA in Ilocos and Pangasinan still means shallot. The Spanish onion that is large, yellowish and considered sweet is also an Allium; so is the Mexican bulb onion which is white that is not sweet. During a trip to Jakarta in the mid-1980s, bawang had become the term for related herbs, all of the Allium genus: daun bawang lalap (small, bulbous spring onions eaten raw); bawang putih (garlic, already sold then as loose cloves or full bulbs); bawang merah (shallots that were deep red to purple, flavourful and used sliced or pounded; deep fried slices were a garnish). In Manila of the 1950s and 1960s the big bulb onion was called SIBUYAS BOMBAY. In Jakarta it was sold as bawang Bombay, the onion for European-influenced Indonesian dishes. Indeed it seems that early Pampanga cooking likely used shallots and not the European bulb onion. For heritage cooks, which Allium to use for a dish is a serious choice.",Manuel Blanco; Bawang; Onion,Pampaga 1732,,,Shallot. Dreamtime.com Public Domain,,Image;Still Image,image/jpeg,,public domain,,https://www.instagram.com/p/CQ2rxiBDGkZ/?hl=en
coll095,https://lh3.googleusercontent.com/d/1ywdTh2A3mh-W5_e1m5t-byPj_UXlnTGg,,(PAM5) SWEETNESS,,2021-07-07,"In the 1700s, Pampangan sweetness — YUMU — came from honey made by bees (PULUT) and sugarcane (ATBO). Sugarcane land was called PANAYBUAN. Sugar mills were termed at the time CAB-BIYAO. Animals like a carabao provided power for a mill or press. LANSI was sediment from honey or hard sugar. Diego Bergaño, OSA records the saying, “Malansi cang bina”. Perhaps honey was preferred to the sugar of that era because it roughly means “What appears to be honey is just hard sugar underneath”. CARAMELO also existed, a hard sugar cube that when bitten on caused LANGUBNGUB, the sound made by teeth. Sugar was cooked with lakatan banana to make a mixture called INANGIT. It also was mixed with wheat flour and fried into small round cakes called BARUYA. Honey too was used in cooking. It made BARILI, a sauce for meat and fish. BAGCAT was a paste made of toasted corn kernels ground with honey. With ginger, honey made SALABAT, a beverage. PANIMAGAS was an active word meaning sweets like preserves eaten to end a meal. DULOT was serving a combination or oranges and suman at the end of a meal; it also meant food at table given to children and relatives. BUCAYO already existed as a conserve or a jam, but when conjugated as MABUCAYO it meant to become preserved or inferior sugar. A regular ripening of fruits throughout a year could also satisfy the desire for sweetness.",Diego Bergaño; Sweet; Honey,Pampaga 1732,,,Bees on a honeycomb. Public domain.com,,Image;Still Image,image/jpeg,,public domain,,https://www.instagram.com/p/CRBceX8j9W2/?hl=en
coll096,https://lh3.googleusercontent.com/d/1M11bSjaxa7SJB60uYn-3gnC4aPetdlF2,,(PAM6) SMALL FISH,,2021-07-10,"Consistently around the archipelago, small fish figure in the common diet. Pampanga’s parishes were upstream and not along the bay when in 1732 Fr. Bergano’s dictionary was first released. The word lists for languages of island residents such as in the Visayas have many fish types included. Not so in the Bergano book although not all fish and seafood may have been listed. ASAN is fish in general in Pampangan; MASAN is to eat a meal or fish. Perhaps the fish he included were the most popular ones or the ones he personally ate: ALUBEBAY like a sardine; BIA that was white; DILIS that was white and “good to eat”. A fish could mean more than being a fish. The delicious BUANBUAN was white-scaled and boney. It also meant an untarnished weapon or sword. Fish had power and nobleness associated with it. The CABASI fish gave its name to a kind of texture or weave. ITO was a fish without scales and figured in an adage: NOCARIN MALUN MO ALAN BIYAYAN ITO. The translation by Fr. Venancio Samson is: Where there are waves [such as the sea] no ITO can thrive. He explains that in the 18th-century it implied that every part of the sea has waves; wherever one goes there will be work to be done always. Other common fish of the era’s diet were the mud fish DALAG and TABANGONGO also called CANDOLE. The Pampangan table also served ALIMASAG, sea crab; PARUS, mussels or [other] shellfish; ULANG, prawns or large shrimp. MANULANG was to go looking to catch them specifically. On Wednesday we will share how they were cooked.",Fr. Venancio Samson; Fish; Island,Pampaga 1732,,,Dreamstime.com Royalty free,,Image;Still Image,image/jpeg,,public domain,,https://www.instagram.com/p/CRIloeDjQwA/?hl=en
coll097,https://lh3.googleusercontent.com/d/1iBZP2ScIY_bw2ZJ9dFEvM2y9rvSEKOZ0,,(PAM7) ROASTING,,2021-07-14,"The first written description of Philippine cooking records roasting. That was in 1521 by Antonio Pigafetta. In the 1700s Pampanga cuisine was still employing the technique. Its vocabulary was highly developed with specific words for the way roasting was done. DARANG and NANGNANG were generic for roasting, asar (to roast) and asado (that which is roasted) in Spanish. Proof of fish being roasted at the time is the word BELITA, meaning to roast an entire fish from head to tail. SUBSUB was to move sausages or other food “closer to embers so they would roast better”. DUMIRI was the dripping of fat or grease as well as the sizzle made when roasting. Bergaño used “longaniza” as his example, suggesting that specific term for sausage was active in Pampanga. He did not use chorizo, for instance. One had to know how to roast well or what one roasted could end up criticised as BANTILAO, an adjective for being half-roasted or half-cooked. MANTILAO meant that food was cooked in that manner such as when there were many guests. Pigafetta had described food he ate in the Visayas as half-cooked.
One could “roast or toast” in a pan and not only over an open fire in the 1700s. In Pampanga, rice and corn kernels became BILUTUG when roasted or toasted (IBILUTUG) in a pan (termed BILITUGAN).",Antonio Pigafetta; Roasting; ,Pampaga 1732,,,Dreamstime.com,,Image;Still Image,image/jpeg,,public domain,,https://www.instagram.com/p/CRS9UF2jHCl/?hl=en
coll098,https://lh3.googleusercontent.com/d/1rU2SttqKa26I5ZFkz-RAiWjZzzW85Es_,,(PAM8) COOKING WITH LIQUID,,2021-07-17,"In addition to roasts, the first written story about Philippine cuisine mentions that broths of pork and of fish were served. That was the 1521 chronicle by Antonio Pigafetta when he was in the Visayas with Magellan. The Bergaño vocabulary documents that Pampangans in the 1700s had boiled dishes, likely as did their early ancestors. ITUN and TUMAN meant to cook and to boil. LUTU was boiled or cooked food; IYAGLUTO was to cook or prepare food. ALPA existed then as a term for “boiled food”. IYAYALPA meant boiled ingredients like squash and radish, two botanicals brought by the galleon trade. Everyone knew that MALALPA was very soft rice cooked with too much water. It’s opposite was GAGTO, rice cooked with insufficient water. ABIAS meant specifically to make “nasi,” cooked rice. Because of the word TAMBONG we can assume meat and vegetables were boiled to make a viand. TAMBONG or MANAMBONG was also used for boiled “ears of corn” and camotes, two more New World botanical immigrants that indigenized. At least one more word proves Pampangans boiled to cook: TUN, conjugated as ITUN and TUMUN. Additional culinary methods had been added since 1565 to basic roasting and boiling, thereby expanding possibilities for innovation. More about them on Wednesday.",Antonio Pigafetta; Magellan; Boiled; Roasting,Pampaga 1732,,,dreamstime.com,,Image;Still Image,image/jpeg,,public domain,,https://www.instagram.com/p/CRbc4ccj0yG/?hl=en
coll099,https://lh3.googleusercontent.com/d/1Cv33tzvtaUxn8KTC5q1VlsAWCq6oduzI,,(PAM9) PARBOILING & BLANCHING 1,,2021-07-21,"To continue “Cooking with Liquid,” Pampanga in the 1700s was using the culinary technique called BANLI. Bergaño explains that IBANGLI and MANGLI mean to dip something in boiling water: such as a lemon [meaning a native citrus used in place of Spanish lemon, most likely] or some other fruit to tenderise it and extract juice easily. Today’s chefs could attempt repeating the antique flavouring process. BANLI is also the 1732 synonym of SALCOCHAR, meaning there can be SAL, salt, in the boiling water. In English, parboil is short for partially boiled, to submerge and boil food briefly and lightly over heat. Blanch is similar but infers immersing briefly in boiling water, about a minute whereas parboiling could take longer. Thus are the subtle differences between the two techniques, it seems. BANLI is more parboiling than blanching. In Tagalog of 1613, it is HABLOS, meat or fish [placed] in boiling water — SANCOCHAR in Spanish.
Or is it? See immediate continuation.",Diego Bergaño; Boil; Blanche,Pampaga 1732,,,,,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/CRkvXqljBVJ/?hl=en
coll100,https://lh3.googleusercontent.com/d/1NSDd7yvyJkX4ucyDHwaVsCfKXobR6Ls9,,(PAM10) PARBOILING & BLANCHING 2,,2021-07-21,"A 1624 Tagalog dictionary defines hablos as SALCOCHAR. It refers to LABON: cooking meat, fish or tubers as in SANCOCHAR and not as in LAGA, SAING, or SIG-ANG which we gather is longer boiling. SANGKUTSA does not yet appear in Pampangan or Tagalog dictionaries of the early to mid 1700s. Today, it is traced to SALCOCHAR, to boil in salted water. But it could be from SANCOCHAR, to cook in boiling water quickly a raw ingredient. Both Spanish words share COCHO in their etymologies; cocho from
the past participle COZER, to cook. The SAL is from the Spanish word for salt. Think through BANLI, HABLOS, and SANGKUTSA, three words in the heritage of Philippine cooking.",Boil; Salt,Pampaga 1732,,,Salt being added to water. Dreamstime.com Public domain.,,Image;Still Image,image/jpeg,,public domain,,https://www.instagram.com/p/CRkvjfvjUWa/?hl=en
coll101,https://lh3.googleusercontent.com/d/1BlCzHsXWc3BXOTmsaRAraHxR_fk1lCs7,,(PAM11) TINAPAY,,2021-07-24,"In 1732 the Pampangan word for pan, the Spanish word for bread, was TINAPAY. It is a word shared throughout the islands due to its use by missionaries in sermons about Christ as the bread of life and his miracle of the loaves and fish, for instance. In 1521 when TINAPAY was first recorded in writing, Antonio Pigafetta defined it as a certain type of rice cake in Cebu. To knead in Tagalog is TAPAY; the result is TINAPAY, na tapay. In Pampanga there was the root word AMAS conjugated as MANAMAS, meaning “to knead” so a synonym of tapay? MANAMAS was also that with which or what is put into the dough, like mixing; it is also that which is kneaded. We learn that rice and wheat flours were combined from MIAMAS, meaning “with company like rice flour with wheat flour”. MACAYAMAS is what is mixed in the dough. Typical of our languages, the root word (AMAS) shows its flexibility. Similarly YAMAS is recorded. As MANIAMAS it is not only to knead; it can also mean mixing good and bad. If one wonders what ingredients AMAS and YAMAS could knead into dough, one ingredient is honey. Pampangans in the 1700s used honey in their dough, if we follow the translation of “miel” selected by Fr. Venancio Q. Samson to whom we all owe a debt of gratitude for his work. The word miel means honey, however it came to also mean sugarcane and palm juices cooked till thick like honey. Contemporary bakers can experiment today with all the “honeys” from the 1700s.",Antonio Pigafetta; Bread; Honey,Pampaga 1732,,,"Monay from NLLN Bakeshop, Angeles City, Pampanga. In PANADERIA: Philippine Bread, Biscuit and Bakery Traditions by Amy Uy and Jenny Orillos (Anvil, 2015)",,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/CRsuvnmDdmd/?hl=en
coll102,https://lh3.googleusercontent.com/d/1p_AT7Vdy4ybTf8JIfR8sYhKlpJK6IA7J,,(PAM12) BRAZIERS.,,2021-07-28,"To contain an open fire, thereby directing its heat upwards, a cooking fire can be made within the space central to three stones. A cooking vessel can sit on the tripod. In Pampanga of the 1700s TUNGCO was the three stones. So it was too in Tagalog that spelled it TONGCÔ in the early 1600s. Tagalog in 1613 had already also incorporated the word CALÁN, an earthenware brazier used in cooking by the natives. Bergaño lists CALANG as an earthenware stove in the 1700s. He describes it as having “three feet” similar to a tungco. The kalan shape has varied over time. Its advantages are that it is portable and keeps cooking coals contained and off the ground. The kalan came in many sizes. Its solid base or feet raise the part holding hot coals or firewood thereby protecting any flooring beneath it, such as a boat’s. Arsenio Manuel suggests the kalan like the kawa and its small version the kawali (the affix LI implying small) are Chinese in origin.",Arsenio Manuel; Fire,Pampaga 1732,,,Detail showing a kalan a century after Bergaño published the first Pampanga dictionary. From a larger work by Jose Lozano. 1867,,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/CR2xAHhK80e/?hl=en
